"E-commerce analytics and reporting","Analytique et reporting e-commerce"
"Connected","Connecté"
"Connection code","Code de connexion"
"Connect","Connecter"
"Disconnect","Déconnecter"
"Store view","Vue boutique"
"Store view: %1","Vue boutique : %1"
"Open the Fullmetrix dashboard","Ouvrir le tableau de bord Fullmetrix"
"Create your Fullmetrix account at fullmetrix.com","Créez votre compte Fullmetrix sur fullmetrix.com"
"Copy the connection code shown in your Fullmetrix dashboard","Copiez le code de connexion affiché dans votre tableau de bord Fullmetrix"
"Paste the code below and click Connect","Collez le code ci-dessous et cliquez sur Connecter"
"Sync activity","Activité de synchronisation"
"Sync in progress","Synchronisation en cours"
"Sync complete","Synchronisation terminée"
"Waiting for sync","En attente de synchronisation"
